iter	Passed	Remaining
0	3	326
1	5	270
2	7	245
3	9	220
4	11	213
5	14	223
6	18	251
7	21	247
8	23	242
9	26	236
10	29	236
11	32	240
12	36	242
13	38	238
14	41	232
15	43	228
16	47	229
17	49	225
18	51	219
19	53	214
20	55	208
21	57	204
22	60	202
23	62	198
24	64	194
25	66	189
26	68	185
27	70	181
28	72	177
29	75	175
30	77	172
31	79	169
32	81	166
33	84	163
34	86	159
35	87	156
36	89	152
37	91	149
38	93	146
39	95	143
40	97	140
41	97	135
42	99	131
43	101	128
44	102	125
45	104	122
46	106	119
47	107	116
48	109	114
49	111	111
50	113	108
51	115	106
52	116	103
53	118	101
54	119	98
55	121	95
56	123	93
57	124	90
58	126	88
59	128	85
60	130	83
61	131	80
62	133	78
63	136	77
64	139	75
65	141	73
66	144	71
67	146	68
68	147	66
69	149	64
70	150	61
71	152	59
72	154	57
73	156	54
74	157	52
75	159	50
76	160	48
77	162	45
78	164	43
79	165	41
80	167	39
81	169	37
82	171	35
83	172	32
84	174	30
85	175	28
86	177	26
87	179	24
88	180	22
89	182	20
90	184	18
91	186	16
92	187	14
93	189	12
94	191	10
95	192	8
96	194	6
97	196	4
98	197	1
99	199	0
