iter	Passed	Remaining
0	160	160537
1	162	81137
2	164	54732
3	166	41532
4	169	33647
5	171	28375
6	173	24554
7	175	21747
8	177	19573
9	180	17882
10	182	16451
11	185	15249
12	187	14198
13	188	13272
14	189	12474
15	191	11773
16	193	11196
17	195	10669
18	197	10209
19	200	9807
20	202	9420
21	203	9047
22	204	8688
23	205	8356
24	207	8091
25	209	7834
26	210	7593
27	212	7360
28	213	7152
29	215	6958
30	216	6752
31	217	6570
32	218	6404
33	219	6248
34	221	6095
35	223	5981
36	225	5871
37	226	5742
38	227	5615
39	229	5515
40	231	5403
41	232	5293
42	233	5186
43	234	5084
44	234	4987
45	237	4917
46	239	4847
47	240	4761
48	241	4680
49	242	4598
50	243	4527
51	244	4453
52	245	4385
53	246	4317
54	247	4248
55	248	4181
56	248	4117
57	249	4056
58	250	4001
59	252	3953
60	253	3899
61	254	3846
62	255	3794
63	255	3743
64	256	3693
65	257	3648
66	258	3603
67	259	3559
68	260	3516
69	261	3472
70	262	3434
71	263	3394
72	264	3355
73	265	3316
74	266	3281
75	267	3249
76	268	3214
77	269	3182
78	270	3148
79	270	3115
80	271	3084
81	272	3054
82	273	3018
83	274	2987
84	274	2958
85	275	2928
86	276	2900
87	277	2872
88	277	2844
89	278	2818
90	279	2792
91	280	2766
92	281	2746
93	282	2723
94	283	2701
95	284	2677
96	285	2654
97	285	2632
98	286	2611
99	287	2589
100	288	2567
101	289	2545
102	289	2524
103	290	2504
104	291	2484
105	292	2464
106	292	2445
107	293	2426
108	294	2408
109	295	2390
110	296	2374
111	297	2359
112	298	2341
113	299	2325
114	299	2308
115	300	2292
116	301	2274
117	302	2258
118	302	2242
119	303	2227
120	304	2211
121	305	2195
122	305	2180
123	306	2166
124	307	2151
125	308	2138
126	309	2124
127	310	2113
128	311	2101
129	312	2091
130	313	2081
131	314	2071
132	315	2059
133	317	2048
134	318	2037
135	318	2025
136	319	2013
137	320	2001
138	321	1989
139	321	1977
140	322	1966
141	323	1953
142	324	1942
143	324	1931
144	325	1920
145	326	1910
146	327	1901
147	328	1891
148	329	1883
149	330	1873
150	331	1863
151	332	1852
152	332	1843
153	333	1833
154	334	1823
155	335	1814
156	336	1804
157	336	1795
158	337	1786
159	338	1778
160	339	1767
161	340	1759
162	340	1750
163	341	1742
164	342	1735
165	343	1727
166	345	1721
167	346	1714
168	347	1707
169	348	1700
170	349	1692
171	349	1684
172	350	1676
173	351	1668
174	352	1660
175	353	1656
176	355	1654
177	356	1646
178	357	1640
179	358	1634
180	359	1628
181	360	1622
182	361	1615
183	362	1608
184	363	1600
185	364	1593
186	364	1586
187	365	1579
188	366	1572
189	367	1565
190	368	1559
191	369	1553
192	369	1546
193	370	1540
194	371	1533
195	372	1527
196	373	1522
197	374	1516
198	375	1510
199	375	1503
200	376	1497
201	377	1491
202	378	1485
203	379	1479
204	380	1473
205	380	1467
206	381	1461
207	382	1455
208	383	1450
209	384	1444
210	384	1438
211	385	1433
212	386	1427
213	387	1422
214	388	1417
215	389	1413
216	390	1408
217	391	1403
218	391	1397
219	392	1392
220	393	1386
221	394	1381
222	394	1376
223	395	1371
224	396	1366
225	397	1361
226	398	1356
227	399	1351
228	399	1346
229	400	1341
230	401	1336
231	402	1332
232	403	1328
233	404	1324
234	405	1319
235	406	1315
236	407	1311
237	408	1306
238	408	1301
239	409	1297
240	410	1292
241	411	1287
242	411	1282
243	412	1278
244	413	1274
245	414	1269
246	414	1265
247	415	1260
248	416	1256
249	417	1251
250	418	1247
251	419	1243
252	420	1240
253	421	1238
254	422	1234
255	423	1230
256	424	1227
257	425	1223
258	426	1218
259	426	1215
260	427	1211
261	428	1207
262	429	1203
263	430	1199
264	430	1194
265	431	1191
266	432	1187
267	433	1183
268	435	1182
269	436	1179
270	436	1175
271	437	1171
272	438	1168
273	439	1164
274	440	1160
275	440	1156
276	441	1152
277	442	1149
278	443	1145
279	444	1142
280	444	1138
281	445	1134
282	446	1131
283	447	1127
284	448	1124
285	449	1120
286	450	1118
287	451	1116
288	452	1113
289	453	1111
290	454	1107
291	455	1104
292	456	1100
293	457	1097
294	457	1094
295	458	1090
296	459	1087
297	460	1083
298	460	1080
299	461	1077
300	462	1073
301	463	1070
302	464	1068
303	465	1066
304	466	1063
305	467	1060
306	468	1057
307	469	1054
308	470	1051
309	470	1048
310	471	1044
311	472	1041
312	473	1038
313	473	1035
314	474	1032
315	475	1029
316	476	1026
317	477	1023
318	478	1020
319	479	1018
320	480	1015
321	481	1013
322	482	1010
323	482	1007
324	483	1004
325	484	1001
326	485	998
327	486	996
328	487	993
329	487	990
330	488	987
331	489	984
332	490	981
333	490	979
334	491	976
335	492	973
336	493	970
337	494	967
338	495	965
339	496	963
340	497	961
341	498	959
342	499	957
343	500	955
344	502	953
345	503	950
346	504	948
347	505	946
348	506	944
349	507	942
350	508	940
351	509	938
352	510	936
353	511	934
354	513	932
355	513	929
356	514	927
357	515	925
358	516	922
359	517	920
360	518	917
361	519	915
362	520	913
363	521	910
364	521	908
365	522	905
366	523	903
367	524	900
368	525	898
369	526	896
370	527	894
371	528	891
372	529	889
373	530	887
374	531	885
375	532	883
376	533	880
377	534	878
378	535	876
379	536	875
380	537	873
381	538	871
382	540	870
383	541	868
384	543	867
385	544	865
386	545	864
387	546	862
388	547	860
389	548	857
390	549	855
391	550	853
392	551	851
393	552	849
394	553	847
395	554	845
396	555	843
397	556	841
398	558	840
399	559	838
400	560	837
401	561	835
402	562	833
403	563	831
404	564	829
405	565	826
406	565	824
407	566	822
408	567	820
409	568	818
410	569	815
411	570	813
412	571	812
413	572	810
414	573	808
415	574	806
416	575	804
417	576	802
418	576	799
419	577	797
420	578	795
421	579	793
422	580	791
423	580	789
424	581	787
425	582	785
426	583	783
427	584	781
428	586	780
429	587	778
430	588	776
431	589	775
432	590	773
433	591	771
434	591	768
435	592	766
436	593	764
437	594	762
438	595	760
439	595	758
440	596	756
441	597	754
442	598	752
443	599	750
444	600	748
445	600	746
446	602	744
447	603	743
448	604	741
449	605	739
450	606	738
451	607	736
452	608	734
453	609	732
454	610	730
455	610	728
456	611	727
457	612	725
458	613	723
459	614	721
460	615	719
461	616	717
462	617	715
463	618	714
464	619	712
465	620	711
466	621	709
467	622	707
468	623	705
469	623	703
470	624	701
471	626	700
472	626	698
473	627	696
474	628	694
475	629	692
476	629	690
477	630	688
478	631	686
479	632	685
480	634	684
481	635	682
482	636	680
483	637	679
484	638	677
485	639	675
486	639	674
487	640	672
488	641	670
489	642	668
490	643	666
491	644	664
492	644	663
493	645	661
494	646	659
495	647	657
496	648	656
497	649	654
498	650	653
499	651	651
500	652	650
501	653	648
502	654	646
503	655	644
504	655	642
505	656	641
506	657	639
507	658	637
508	659	635
509	659	633
510	660	632
511	661	630
512	662	629
513	663	627
514	664	625
515	665	624
516	666	622
517	667	620
518	667	618
519	668	617
520	669	615
521	670	613
522	670	611
523	671	610
524	672	608
525	673	606
526	673	604
527	674	603
528	675	601
529	676	599
530	677	598
531	678	596
532	679	595
533	680	593
534	681	592
535	681	590
536	682	588
537	683	586
538	684	585
539	685	583
540	686	582
541	686	580
542	687	578
543	688	577
544	689	575
545	689	573
546	690	572
547	691	570
548	692	568
549	693	567
550	694	566
551	695	564
552	696	563
553	697	561
554	699	560
555	700	559
556	701	557
557	702	556
558	702	554
559	703	552
560	704	551
561	705	549
562	706	548
563	706	546
564	707	545
565	709	543
566	710	542
567	711	540
568	712	539
569	712	537
570	713	536
571	714	534
572	715	533
573	716	532
574	717	530
575	718	529
576	719	527
577	720	525
578	721	524
579	721	522
580	722	521
581	723	519
582	724	518
583	725	517
584	726	515
585	727	513
586	728	512
587	729	510
588	729	509
589	730	507
590	731	506
591	732	504
592	733	503
593	733	501
594	734	500
595	735	498
596	736	496
597	736	495
598	737	493
599	738	492
600	739	491
601	740	489
602	741	488
603	742	486
604	743	485
605	743	483
606	744	482
607	745	480
608	746	479
609	747	477
610	747	476
611	748	474
612	749	473
613	750	471
614	751	470
615	751	468
616	752	467
617	753	465
618	754	464
619	755	463
620	756	461
621	757	460
622	758	458
623	759	457
624	760	456
625	760	454
626	761	453
627	762	451
628	763	450
629	763	448
630	764	447
631	765	445
632	766	444
633	767	442
634	767	441
635	768	439
636	769	438
637	770	437
638	771	436
639	772	434
640	773	433
641	774	431
642	774	430
643	775	428
644	776	427
645	777	425
646	777	424
647	778	423
648	779	421
649	780	420
650	781	418
651	782	417
652	783	416
653	783	414
654	784	413
655	786	412
656	786	410
657	787	409
658	788	408
659	789	406
660	789	405
661	790	403
662	791	402
663	792	400
664	793	399
665	793	398
666	794	396
667	795	395
668	796	394
669	797	392
670	798	391
671	798	389
672	799	388
673	801	387
674	802	386
675	803	384
676	804	383
677	805	382
678	805	380
679	806	379
680	807	378
681	808	376
682	808	375
683	809	374
684	810	372
685	811	371
686	812	370
687	812	368
688	813	367
689	814	365
690	815	364
691	816	363
692	817	362
693	818	360
694	819	359
695	820	358
696	820	356
697	821	355
698	822	354
699	823	352
700	823	351
701	824	350
702	825	348
703	826	347
704	827	346
705	827	344
706	828	343
707	829	342
708	830	340
709	831	339
710	832	338
711	833	337
712	834	335
713	834	334
714	835	333
715	836	331
716	837	330
717	838	329
718	838	327
719	839	326
720	840	325
721	842	324
722	843	323
723	843	321
724	844	320
725	846	319
726	847	318
727	848	316
728	849	315
729	850	314
730	851	313
731	852	312
732	852	310
733	853	309
734	854	308
735	855	306
736	856	305
737	857	304
738	857	302
739	858	301
740	859	300
741	860	299
742	861	297
743	862	296
744	863	295
745	864	294
746	865	293
747	866	291
748	867	290
749	867	289
750	868	287
751	869	286
752	870	285
753	871	284
754	871	282
755	872	281
756	873	280
757	874	279
758	875	277
759	876	276
760	877	275
761	878	274
762	878	273
763	879	271
764	880	270
765	881	269
766	881	267
767	882	266
768	883	265
769	884	264
770	885	262
771	886	261
772	886	260
773	887	259
774	888	257
775	889	256
776	889	255
777	890	254
778	891	253
779	892	251
780	893	250
781	894	249
782	895	248
783	897	247
784	898	246
785	899	244
786	900	243
787	901	242
788	902	241
789	903	240
790	904	238
791	905	237
792	906	236
793	907	235
794	908	234
795	910	233
796	911	232
797	912	230
798	913	229
799	914	228
800	915	227
801	916	226
802	917	225
803	918	223
804	919	222
805	919	221
806	921	220
807	922	219
808	923	218
809	924	216
810	925	215
811	926	214
812	927	213
813	928	212
814	929	210
815	929	209
816	930	208
817	931	207
818	932	206
819	933	204
820	933	203
821	934	202
822	935	201
823	936	199
824	937	198
825	938	197
826	939	196
827	940	195
828	940	194
829	941	192
830	942	191
831	943	190
832	943	189
833	944	188
834	945	186
835	946	185
836	947	184
837	947	183
838	948	182
839	949	180
840	950	179
841	951	178
842	952	177
843	953	176
844	954	175
845	955	173
846	955	172
847	956	171
848	957	170
849	958	169
850	959	167
851	959	166
852	960	165
853	961	164
854	962	163
855	963	162
856	963	160
857	964	159
858	965	158
859	966	157
860	967	156
861	968	155
862	969	153
863	970	152
864	971	151
865	971	150
866	972	149
867	973	148
868	974	146
869	975	145
870	975	144
871	976	143
872	977	142
873	978	141
874	979	139
875	980	138
876	981	137
877	982	136
878	983	135
879	984	134
880	985	133
881	986	131
882	987	130
883	988	129
884	988	128
885	989	127
886	990	126
887	991	125
888	992	123
889	992	122
890	993	121
891	994	120
892	995	119
893	995	118
894	996	116
895	997	115
896	999	114
897	1000	113
898	1001	112
899	1002	111
900	1004	110
901	1005	109
902	1006	108
903	1008	107
904	1009	105
905	1010	104
906	1010	103
907	1011	102
908	1013	101
909	1014	100
910	1015	99
911	1017	98
912	1018	97
913	1019	95
914	1020	94
915	1021	93
916	1022	92
917	1023	91
918	1024	90
919	1025	89
920	1026	88
921	1027	86
922	1028	85
923	1030	84
924	1031	83
925	1032	82
926	1033	81
927	1034	80
928	1035	79
929	1036	78
930	1037	76
931	1038	75
932	1039	74
933	1040	73
934	1041	72
935	1042	71
936	1044	70
937	1046	69
938	1047	68
939	1049	66
940	1050	65
941	1051	64
942	1052	63
943	1053	62
944	1054	61
945	1055	60
946	1056	59
947	1057	57
948	1058	56
949	1059	55
950	1060	54
951	1062	53
952	1063	52
953	1063	51
954	1064	50
955	1065	49
956	1067	47
957	1068	46
958	1069	45
959	1070	44
960	1071	43
961	1073	42
962	1074	41
963	1076	40
964	1077	39
965	1078	37
966	1078	36
967	1079	35
968	1080	34
969	1081	33
970	1082	32
971	1083	31
972	1084	30
973	1084	28
974	1085	27
975	1086	26
976	1087	25
977	1088	24
978	1089	23
979	1091	22
980	1092	21
981	1093	20
982	1094	18
983	1095	17
984	1095	16
985	1096	15
986	1097	14
987	1098	13
988	1099	12
989	1100	11
990	1100	9
991	1101	8
992	1102	7
993	1103	6
994	1104	5
995	1105	4
996	1106	3
997	1107	2
998	1107	1
999	1108	0
